Berlin,,"'Berlin',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,,"'Berlin',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,,"'Berlin',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,,"'Berlin',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,,"'Berlin',",,,"'Berlin',","'Berlin',","'Berlin',","'Berlin',","'Berlin',","'Hamburg',","'Hamburg',","'Hamburg',","'Hamburg',","'Munich',","'Munich',","'Munich',","'Munich',","'Köln',","'Köln',","'Köln',","'Köln',","'Frankfurt',","'Frankfurt',","'Frankfurt',","'Frankfurt',","'Stuttgart',","'Stuttgart',","'Stuttgart',","'Düsseldorf',","'Düsseldorf',","'Düsseldorf',","'Dortmund',","'Essen',","'Leipzig',","'Leipzig',","'Leipzig',","'Bremen',","'Dresden',","'Hannover',","'Hannover',","'Nürnberg',","'Nürnberg',","'Duisburg',","'Wuppertal',","'Bonn',","'Bonn',","'Bonn',","'Münster',","'Münster',","'Karlsruhe',","'Karlsruhe',","'Mannheim',","'Mannheim',","'Augsburg',"
Nürnberg,,"'Nürnberg',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nürnberg,,"'Nürnberg',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duisburg,,"'Duisburg',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wuppertal,,"'Wuppertal',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonn,,"'Bonn',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonn,,"'Bonn',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonn,,"'Bonn',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münster,,"'Münster',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münster,,"'Münster',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karlsruhe,,"'Karlsruhe',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karlsruhe,,"'Karlsruhe',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mannheim,,"'Mannheim',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mannheim,,"'Mannheim',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augsburg,,"'Augsburg',",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
